レース場,レース回,風向,風速,波の高さ,級別,結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア
8,0,0,3.0,2.0,2,1,0.8108654943298766,1.263865473147974,0.4685567879125369,0.5731538573387883
8,1,1,3.0,2.0,2,1,0.7402541213128968,1.0222590327345884,1.6836921814638155,-0.7142161057067796
8,2,0,1.0,1.0,2,1,-0.7382407884484076,-0.09290903084827,-1.0788013796406977,0.381634573089404
8,3,7,0.0,1.0,2,0,-0.7467637728427908,-0.1278397403955436,-0.5568051614930227,-0.6349477809218982
8,4,4,1.0,1.0,2,1,-0.8879145899975178,-0.0531382582864686,0.5469396231066375,-1.8270323749551307
8,5,4,2.0,1.0,2,1,-0.0175026967169608,-0.2250509938931106,1.433136642537118,0.3642047688441759
8,6,6,1.0,1.0,0,0,0.9105548175163528,1.4875725639084334,-0.9064417686303292,-0.0923459204164805
8,7,4,2.0,1.0,0,1,1.9962424869643272,1.7391559816630089,0.6445365974782441,-0.1069477426982728
8,8,7,0.0,1.0,3,1,0.7378182155636244,0.6594017042753348,1.212539977841232,0.3761196351118652
8,9,4,1.0,1.0,1,1,-0.1089047379956622,0.9460694623419172,1.5199673328695995,0.784863412451901
8,10,6,1.0,1.0,1,0,0.800598875884157,1.330636876542903,-0.2926623116280047,-0.6390924163986739
8,11,4,1.0,1.0,0,1,0.3379201269239036,0.504977325018367,-0.4939746086902742,-1.493787307381717
20,0,6,3.0,3.0,0,1,1.606458024364032,1.4201376544677906,0.4667987941660362,1.08171774737939
20,1,1,2.0,2.0,1,0,0.7893402595893872,0.6337217063467938,1.2375819925230969,1.4836788291689258
20,2,1,2.0,2.0,1,1,0.978870590861552,0.9080062411010406,1.2002857739011064,1.0002758107144072
20,3,1,3.0,3.0,0,0,0.7529674797746018,1.067191235322709,1.287860696791875,-0.0375772099676426
20,4,1,3.0,3.0,0,1,1.0570912031189912,1.5293659963628483,-0.0332280074297248,1.0030012048105073
20,5,0,2.0,2.0,2,0,-0.4120870533840987,-0.1484575057356084,-0.6213954837933473,-0.7868760909221109
