レースコード,レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240101OMR01,8,0,0,3.0,2.0,2,1,0.8108654943298766,1.263865473147974,0.4685567879125369,0.5731538573387883,1.1466840465835353
20240101OMR02,8,1,1,3.0,2.0,2,1,0.7402541213128968,1.0222590327345884,1.6836921814638155,-0.7142161057067796,-1.7554945190143028
20240101OMR03,8,2,0,1.0,1.0,2,1,-0.7382407884484076,-0.09290903084827,-1.0788013796406977,0.381634573089404,-0.1040312973220754
20240101OMR04,8,3,7,0.0,1.0,2,1,-0.7467637728427908,-0.1278397403955436,-0.5568051614930227,-0.6349477809218982,1.6068023934957938
20240101OMR05,8,4,4,1.0,1.0,2,1,-0.8879145899975178,-0.0531382582864686,0.5469396231066375,-1.8270323749551307,0.1968748077395184
20240101OMR06,8,5,4,2.0,1.0,2,1,-0.0175026967169608,-0.2250509938931106,1.433136642537118,0.3642047688441759,-1.673654817511439
20240101OMR07,8,6,6,1.0,1.0,0,1,0.9105548175163528,1.4875725639084334,-0.9064417686303292,-0.0923459204164805,1.0413152017509295
20240101OMR08,8,7,4,2.0,1.0,0,1,1.9962424869643272,1.7391559816630089,0.6445365974782441,-0.1069477426982728,-0.6140870760594065
20240101OMR09,8,8,7,0.0,1.0,3,1,0.7378182155636244,0.6594017042753348,1.212539977841232,0.3761196351118652,-1.0031397251510243
20240101OMR10,8,9,4,1.0,1.0,1,1,-0.1089047379956622,0.9460694623419172,1.5199673328695995,0.784863412451901,0.4343722427630611
20240101OMR11,8,10,6,1.0,1.0,1,1,0.800598875884157,1.330636876542903,-0.2926623116280047,-0.6390924163986739,-1.1808426817081643
20240101OMR12,8,11,4,1.0,1.0,0,1,0.3379201269239036,0.504977325018367,-0.4939746086902742,-1.493787307381717,-0.3522974243126168
20240101ASY01,20,0,6,3.0,3.0,0,1,1.606458024364032,1.4201376544677906,0.4667987941660362,1.08171774737939,-1.7554945190143163
20240101ASY02,20,1,1,2.0,2.0,1,1,0.7893402595893872,0.6337217063467938,1.2375819925230969,1.4836788291689258,0.970756200725051
20240101ASY03,20,2,1,2.0,2.0,1,1,0.978870590861552,0.9080062411010406,1.2002857739011064,1.0002758107144072,-0.8208798329594118
20240101ASY04,20,3,1,3.0,3.0,0,1,0.7529674797746018,1.067191235322709,1.287860696791875,-0.0375772099676426,-1.452325858312784
20240101ASY05,20,4,1,3.0,3.0,0,1,1.0570912031189912,1.5293659963628483,-0.0332280074297248,1.0030012048105073,-0.9352760024870884
20240101ASY06,20,5,0,2.0,2.0,2,0,-0.4120870533840987,-0.1484575057356084,-0.6213954837933473,-0.7868760909221109,-0.6316338213161168
20240101ASY07,20,6,1,3.0,3.0,3,1,0.8619806974442059,0.8752652836894522,-0.032592815992938,-0.7410877778621309,0.1778920167412011
20240101ASY08,20,7,1,3.0,3.0,2,1,0.4477429674768369,0.216039677610592,1.2173622709650158,0.9550045554667362,0.5015698625755003
20240101ASY09,20,8,1,3.0,3.0,1,1,0.8142088279962886,0.5474171747175949,-0.0517802354658735,-0.8669625376894188,-1.8239439831155069
20240101ASY10,20,9,1,2.0,2.0,1,1,-0.1057894083690425,0.0283727785714311,-0.2655656369530639,0.3285192840807438,1.6547190813232329
20240101ASY11,20,10,0,2.0,2.0,1,1,-0.5722681797438814,-1.0008409032393997,0.5284209842598069,0.0779191497828768,0.7537783614444069
20240101ASY12,20,11,0,1.0,1.0,0,1,0.7422313068260938,0.2135443323107318,1.7673350151945324,0.1125332503785721,-0.6088602338088219
20240101WKM01,21,0,0,1.0,1.0,2,1,1.3222614009182387,1.5208012132167696,1.7186651124789551,1.7323912810049378,-0.965398550976176
20240101WKM02,21,1,1,2.0,2.0,2,0,-0.9768369467001866,-0.8796877224715113,-0.8665533015090289,0.0526511606143309,-0.5929270612815589
20240101WKM03,21,2,1,1.0,1.0,1,1,0.680899007637902,0.6193622375788687,-0.4973229208605106,0.3842305166816825,0.6187753088827235
20240101WKM04,21,3,1,1.0,1.0,2,0,-0.8334762598987153,-0.9898874611659856,0.5766516180855665,-1.4118759243614298,1.121707896747368
20240101WKM05,21,4,1,1.0,1.0,0,1,0.968533167685006,1.3054175774333403,-0.5172188507675642,0.1136859084229287,-0.1253924656438659
20240101WKM06,21,5,1,3.0,3.0,2,1,-0.1123283520865737,-0.2297095073559452,0.7118752587967974,0.4299321587865111,1.129620142643821
20240101WKM07,21,6,1,2.0,2.0,1,1,-0.3807371540806727,-0.1873222127893636,-0.3994727222347035,0.0177343072518103,-0.3119673075391706
20240101WKM08,21,7,1,3.0,3.0,0,1,1.3350635540980529,1.0805734265729556,-0.258998691991616,-0.1865866962588243,-1.5619728026264452
20240101WKM09,21,8,1,1.0,1.0,0,0,0.5898545362362421,1.0853167238774724,-0.7826152562251225,0.6148364043155529,1.1540142007657463
20240101WKM10,21,9,7,0.0,1.0,0,1,0.4379877365384507,0.8285332274179429,0.3994013327288965,0.4471344164333867,0.069404291538847
20240101WKM11,21,10,1,2.0,2.0,0,1,1.2078130998826857,0.5219204115924768,0.6363260786313981,1.670719244980278,-1.7432459420003792
20240101WKM12,21,11,1,1.0,1.0,2,1,0.9569462131781558,1.1002897645179914,0.4315209796814794,0.9048032217053622,-0.8800008370998943
20240101SMS01,2,0,1,2.0,2.0,2,1,-0.8179708896216993,-1.654329946880868,1.288234887700251,-0.0391118402285585,-0.256494588021305
20240101SMS02,2,1,1,3.0,3.0,2,1,0.148956956044415,-0.3760147154394455,0.5743738767049453,0.8208824706113963,-0.5536102382055212
20240101SMS03,2,2,0,2.0,2.0,2,1,-1.4326446974802702,-1.661607064681179,0.0670470649410964,1.38620919875403,-0.2350762240697807
20240101SMS04,2,3,0,1.0,1.0,2,0,-1.1330810525479322,-1.6410094941971107,-1.1494905463242977,-0.2791085866598268,1.245244117188432
20240101SMS05,2,4,0,1.0,1.0,1,1,0.6146120471855854,0.1732782448046921,-0.4774572205523646,1.932228015221899,0.6575529049898277
20240101SMS06,2,5,0,2.0,2.0,2,1,-0.7990004357956902,-0.7141865405747214,0.3416477267570038,-1.9739001364200788,0.7749721792662952
20240101SMS07,2,6,0,3.0,3.0,2,1,-0.4976218746790098,-0.5975603573060396,-0.2527797176292295,-1.0526193642900623,-0.8478829356914956
20240101SMS08,2,7,0,2.0,2.0,1,1,0.817670686369958,1.1126720032183637,2.028570435633666,-0.1856942054593724,-0.8856148855400562
20240101SMS09,2,8,0,2.0,2.0,0,1,0.9859981563602008,0.970746916325488,-0.583242849113927,0.2986544678057285,-0.4676830167899928
20240101SMS10,2,9,0,3.0,3.0,0,1,1.1433874736877965,1.2183606236243227,0.1544367959062722,-0.063516073475117,-0.0522708373489399
20240101SMS11,2,10,0,3.0,3.0,0,1,1.7674710122520472,1.6789082435039715,0.5675538997766355,-1.057904043894305,-1.392502696980376
20240101SMS12,2,11,0,3.0,3.0,0,1,1.7183139096787508,1.208496425918148,-0.1933429493932997,-1.6476936031742655,1.6137430609197243
20240101TKY01,13,0,1,1.0,1.0,0,1,1.8951805411635487,1.397247496088876,-0.8453902424001305,-0.8051022325103778,-1.0882143751650408
20240101TKY02,13,1,1,1.0,1.0,1,0,0.2183132732317847,0.3188683860523744,1.4409416000035926,1.551494864606192,0.283980917123553
20240101TKY03,13,2,6,1.0,1.0,1,1,0.6866001567563451,0.8463437350232715,-1.0304143883722183,-0.989781435026633,0.664211164155055
20240101TKY04,13,3,0,1.0,1.0,0,1,0.9602278040113332,0.8998026977117917,-0.0099868236192428,0.3715514316926236,0.4301340378531795
20240101TKY05,13,4,0,2.0,2.0,2,1,0.4750978469455453,0.3407051092672313,-0.2826541547981419,0.6207835682975786,-1.0576962991271437
20240101TKY06,13,5,8,2.0,2.0,2,1,0.6791729116781732,0.5583647431484683,-1.4169068184355549,-0.8366669705775874,-1.844277783908294
20240101TKY07,13,6,2,3.0,3.0,2,0,-0.2394664375553547,0.1475403765003346,-0.5770378681134485,-0.734818118255018,-0.3580574370197273
20240101TKY08,13,7,2,2.0,2.0,2,1,-0.095056278659783,0.1722333162276589,-0.3926248129786152,-0.0798432399912406,1.4999999999999778
20240101TKY09,13,8,2,2.0,2.0,0,1,0.6010053063558722,0.7411355248992978,1.2804716363537338,0.7976241590512878,-1.4797632568168615
20240101TKY10,13,9,8,1.0,1.0,0,1,0.9861798373088844,0.9871170094109752,0.0853184625334458,0.1858650448830287,-0.982123683216058
20240101TKY11,13,10,5,1.0,1.0,0,1,1.8959762233577564,1.8046039557260491,0.0215818833827172,0.4326633966637772,-1.8352829408714624
20240101TKY12,13,11,5,1.0,1.0,0,1,1.484852923767818,1.5560382181147006,0.7460630919206235,-1.5402718373608577,-1.7175134664318168
20240101MYJ01,9,0,6,1.0,1.0,1,1,1.4190934907241874,1.2123737110745028,-0.5526256730412774,0.6998715753035225,-1.613743060919766
20240101MYJ02,9,1,6,3.0,3.0,2,0,-0.0957104143412916,0.2351627642583223,-0.911274669445524,-0.1035857488592997,-0.0507934972232132
20240101MYJ03,9,2,6,4.0,4.0,2,0,-1.2654702096021864,-1.2520299516190423,0.8324184679688893,-1.4211808470357286,0.550481882563158
20240101MYJ04,9,3,6,5.0,5.0,2,1,0.1721300431089514,0.195533206046751,-0.3445015224323645,0.2811286543724934,0.3049687727964155
20240101MYJ05,9,4,6,5.0,5.0,2,1,-0.949275379460022,-0.5292266743139918,-1.1307368826707764,0.9695873953519476,0.9541915484011396
20240101MYJ06,9,5,6,6.0,6.0,0,1,1.7287170041007776,1.838877697295116,1.2009998543118696,1.8180168130972316,-0.1738880632445551
20240101MYJ07,9,6,6,5.0,5.0,1,1,-0.2282170331690896,0.7046024660330709,-0.680399552695704,-1.551663139565494,0.2112885636821424
20240101MYJ08,9,7,6,3.0,3.0,2,0,0.7565447998813015,0.2325233346020213,-0.5645421074758112,-0.9540321575925764,0.080373803695067
20240101MYJ09,9,8,6,4.0,4.0,1,1,1.0859279409354674,1.2815396493023796,-0.3783647007321101,-0.2994182927966784,-0.8951435925492517
20240101MYJ10,9,9,6,2.0,2.0,2,1,-0.1632154981176121,-0.3310975275318232,-0.4565098774450644,-0.2044174315489505,-1.2455047375590655
20240101MYJ12,9,11,6,3.0,3.0,0,1,0.8556556166509165,1.261076578216269,1.3587298103949,0.3871884583627269,-0.6192217557725754
20240101KJM01,5,0,1,1.0,1.0,2,1,-0.7395500452144287,-0.8502337950410707,-0.1033136860229312,0.6331190326965888,-0.6213601697792471
20240101KJM02,5,1,1,1.0,1.0,0,1,1.2214543966134614,1.3454703487402453,-0.1811545586328508,-0.2755810965112822,-1.5010858887610674
20240101KJM03,5,2,1,1.0,1.0,2,1,0.6117544796662926,-0.7316901892061266,-0.1065213599903436,1.0452933786583865,-0.630929176171404
20240101KJM04,5,3,2,5.0,3.0,0,0,0.800634805872054,0.5939465450831334,-0.3440355436396896,-1.2023312731013247,-0.4896182465934701
20240101KJM05,5,4,1,3.0,3.0,0,1,1.3488983787365854,0.4064729926144733,0.3917037563989639,-0.8247195506574354,0.6338656910463746
20240101KJM06,5,5,1,4.0,3.0,0,1,0.9393137558021196,0.7080244096504588,-1.720927011738267,0.8203630121545635,-0.6113595408407135
20240101KJM07,5,6,0,5.0,5.0,0,1,0.8203646875875198,0.9445949204801484,1.0504570708370702,-0.7083940104621804,0.3227486121839581
20240101KJM08,5,7,2,3.0,3.0,0,1,0.3319922637218436,0.1813175175238614,-0.456058147840126,-1.96904903653024,1.474685998842039
20240101KJM09,5,8,0,6.0,5.0,0,1,0.5365652688242263,0.7418934822317087,-0.2370655236100262,0.8965308027017393,0.2090833493957314
