レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア
8,0,0,3.0,2.0,3,0.0,-0.6943875780172974,-1.513593108806129,1.6903546165793946,-0.4608649402907494
8,1,1,3.0,2.0,2,0.0,-1.582378075833991,-1.863171193696286,-0.1320959304831598,0.7416273848170611
8,2,0,1.0,1.0,3,1.0,-0.4019310959330221,-1.0639582564882426,1.3555813586047651,0.6374909911042712
8,3,7,0.0,1.0,2,0.0,-0.2327575395873634,-0.7063687350669028,-1.111818512329592,-1.1907550285525537
8,4,4,1.0,1.0,2,0.0,-0.1340248437732102,-0.1840861090638388,0.6173788169915838,0.1636924953683781
8,5,4,2.0,1.0,0,1.0,1.5927454012433997,1.350305963358662,-0.9261276609896604,-0.703422516125239
8,6,6,1.0,1.0,1,1.0,0.9995703597582762,0.7122699140748003,0.5754943529364,1.1023063664904058
8,7,4,2.0,1.0,2,0.0,-0.1999467434439222,-0.6251231990033478,-0.5747151626856735,0.1503895108166759
8,8,7,0.0,1.0,3,0.0,-1.3229843865278788,-0.162379434671656,-0.457030206654506,-0.2455986491525157
8,9,4,1.0,1.0,1,0.0,-0.6771033710165124,-0.1175803347078866,-0.2333741722533308,0.8173327975604674
8,10,6,1.0,1.0,2,1.0,-1.0750899190444372,0.1860030042479326,-1.682433083769194,-1.362284900378845
8,11,4,1.0,1.0,1,1.0,0.8560643215405588,0.5423830527975047,1.1034418723701065,-0.2965293953017001
20,0,6,3.0,3.0,2,0.0,-0.1454624913006428,0.0530110322885814,0.3496603749533184,-1.8507042465639
20,1,1,2.0,2.0,0,1.0,1.2406229080021718,1.2916428095946588,-0.8800583057942037,-0.3422297851812316
20,2,1,2.0,2.0,2,0.0,-0.9619351135110054,-0.8502240257582468,0.3692760268803741,-1.0447325134128254
20,3,1,3.0,3.0,2,1.0,-0.6625049557027416,-1.032338484332418,-0.5745546611011509,1.3518035274074198
20,4,1,3.0,3.0,2,0.0,-0.939352231343026,-0.6572073586955057,1.4897639722064038,1.2904284157412798
20,5,0,2.0,2.0,1,1.0,0.2617045741870576,0.1031269696331322,-1.0949455304766509,-0.1479494090588959
20,6,1,3.0,3.0,2,0.0,-0.1492815733003928,0.014348611208024,1.6214164442094197,-0.1332538082522921
20,7,1,3.0,3.0,3,0.0,-1.8224248882838223,-1.8328527487608264,-0.181603979739408,1.0442100157653855
20,8,1,3.0,3.0,2,0.0,-0.6620505181918119,-0.6643412314533923,0.1421711667415561,1.8242907220741944
20,9,1,2.0,2.0,1,1.0,0.5691202348967517,0.3493905018367701,1.3774806834590951,0.9910676096272344
20,10,0,2.0,2.0,0,1.0,1.0077997147701991,1.288582662920727,1.4404134359176142,1.2715377739293678
20,11,0,1.0,1.0,1,1.0,-0.0095157859849505,0.0155304968953272,-0.8627624140534534,-0.5070046441787289
21,0,0,1.0,1.0,3,0.0,0.0822246585444956,-0.673234460650481,-0.5707152817422257,-0.5477321236534844
21,1,1,2.0,2.0,1,0.0,0.2747980733016955,0.6809298270176968,-0.8665533015090289,-1.2260198828765752
21,2,1,1.0,1.0,0,0.0,0.5204777754719043,0.8433726916439921,-1.2500465634138065,-0.9157975472788964
21,3,1,1.0,1.0,2,0.0,-0.613531135758777,-0.219599607425902,-0.31404731282315,0.2544426765335828
21,4,1,1.0,1.0,1,1.0,0.5595111924873539,0.4373313294675926,0.4230042645682684,0.0442276771671447
21,5,1,3.0,3.0,3,0.0,-1.5961496481979314,-1.7489975048450344,-0.1077859136242052,0.1487701755800945
21,6,1,2.0,2.0,2,1.0,0.1861999220686502,-0.1315899841908757,0.8683906675341785,0.5215972721120853
21,7,1,3.0,3.0,2,0.0,-0.225477400247671,-0.4076795564645464,-1.2597091504595082,0.6288330484492073
21,8,1,1.0,1.0,0,1.0,1.2842402561092878,0.6877716470315539,-0.8682636054985643,1.132536254021676
21,9,7,0.0,1.0,0,1.0,1.1941363760340789,0.9603823264765942,0.8907097527008012,0.6159609123407281
21,10,1,2.0,2.0,1,1.0,-0.9499041372009698,-0.6615646688747454,-0.0236463553228369,0.248265103377144
21,11,1,1.0,1.0,1,1.0,0.1998019565976374,0.8797724004392289,-0.0273114544102203,-0.6437305691110689
2,0,1,2.0,2.0,2,0.0,1.337921377598285,1.1428150122288585,-0.0844549187688984,-1.3451775670332489
2,1,1,3.0,3.0,2,0.0,-0.0420718120125446,0.4039895520366913,-0.4782443575911518,1.3454101677043706
2,2,0,2.0,2.0,2,0.0,-0.3036351448391023,-0.2825404725368806,-0.4988756187990025,0.6387611546225264
2,3,0,1.0,1.0,2,1.0,-1.182996517417885,-0.7058344771512677,-0.1348397854081008,-0.9743510628207132
2,4,0,1.0,1.0,2,0.0,-1.168342712338638,-1.011639164521512,-0.2421487909391651,-0.779767819625202
2,5,0,2.0,2.0,2,1.0,-1.0145765705071612,-1.1179766231304291,-1.196140293168913,0.2808186950416579
2,6,0,3.0,3.0,2,0.0,-0.4578121247046892,-0.2558117917564317,0.6528363998120389,1.504538985354524
2,7,0,2.0,2.0,2,0.0,1.212582844492911,-0.2721987304010581,-0.5694792200631466,1.0070777768471575
2,8,0,2.0,2.0,2,0.0,-0.7718447106349082,-0.4705367149001269,1.616365978747585,-1.3699569458701506
2,9,0,3.0,3.0,2,1.0,0.0397699990847929,-0.0833312690686447,0.5182842196560962,-0.2936350106022177
2,10,0,3.0,3.0,2,0.0,-0.8343018222701029,-0.6408735768214084,-0.1397170291098581,-0.9384970528012864
2,11,0,3.0,3.0,2,0.0,-0.812536034809332,-1.4324563140240802,1.1832588502869934,-0.6913982258011332
13,0,1,1.0,1.0,2,0.0,-0.6100764777552186,0.5075203909560492,-1.4916583218455235,-0.1666421079759641
13,1,1,1.0,1.0,0,1.0,1.5502076964778058,1.3258211841125036,0.404940353563859,-1.1564325139087268
13,2,6,1.0,1.0,2,0.0,0.2419448171427121,-0.2605479680133627,0.5107986899574751,1.6252174199647966
13,3,0,1.0,1.0,2,0.0,0.3090094794823703,0.4892677168807866,0.6913101238654478,-0.1806998766155385
13,4,0,2.0,2.0,2,1.0,-0.4174182361342653,-0.4508905914132289,1.9066648627865903,-0.7113245386931911
13,5,8,2.0,2.0,2,1.0,-0.444638381026719,-0.4225151767742026,1.213121014056311,0.7569844019511504
13,6,2,3.0,3.0,2,1.0,1.0310910245152085,0.8673167926982276,0.4603416243138292,1.023830976868059
13,7,2,2.0,2.0,0,1.0,1.5067431404582678,1.1583920754283137,-0.9617102160599812,1.0653535963794638
13,8,2,2.0,2.0,2,1.0,0.0858579009079817,-0.1922757257993459,0.3089075542954525,0.9251700848323736
13,9,8,1.0,1.0,1,1.0,-0.7299836518158291,-0.8988830867820621,1.883248990067524,-0.9907682144591258
13,10,5,1.0,1.0,2,0.0,-0.228430870284067,-0.1504779474053696,0.2269818769561699,0.0830640698236363
13,11,5,1.0,1.0,2,0.0,-0.9293683767467634,-0.8846944896410824,-0.0756092895638276,0.4292560858218785
9,0,6,1.0,1.0,2,0.0,-0.1766892288581883,-1.200002550757415,-0.2543832463205879,-0.7367589242136378
9,1,6,3.0,3.0,3,1.0,-1.4336828045143968,-1.5211577408318024,-0.0762156996263532,0.7244286974519941
9,2,6,4.0,4.0,1,1.0,0.7581852935103026,0.7332605692748977,-0.2754667753022255,-0.5757866148672579
