レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
8,0,0,3.0,2.0,2,1,0.7167871773081779,0.6425918429740303,-0.4638678708069075,0.6488137693604622,-1.7002556552790111
8,1,1,3.0,2.0,2,0,-0.8285413100933333,-0.1544806685472766,0.5075711798307919,1.3568583159589365,0.1253924656439002
8,2,0,1.0,1.0,2,0,-0.6890247358851803,-0.8481695396793602,-0.5579425885329231,1.116953018140537,1.144344270542636
8,3,7,0.0,1.0,0,1,1.571113392214702,1.1657250903864849,0.6956704873681941,1.089367617239349,-1.264929543815838
8,4,4,1.0,1.0,2,0,-0.1627444531531838,-0.4858355043334304,-1.8935712709070704,0.8961063499506094,-0.0984374038697854
8,5,4,2.0,1.0,1,0,0.7001078686784175,0.1375311629346784,-0.1075672354123955,1.124037379104324,-0.4184137043778597
8,6,6,1.0,1.0,2,0,-1.5596264796970505,-1.3772652763304778,0.5315308586006747,-0.5739474294239523,1.2148677353760975
8,7,4,2.0,1.0,2,0,-0.5772655980074537,-0.7564720423737007,-0.3168198052726499,0.5082318719275924,-0.2936938189849317
8,8,7,0.0,1.0,3,0,-1.0600836430511849,-1.721222007519556,0.2021786711626449,-0.5355345797950394,-0.6269623282193945
8,9,4,1.0,1.0,2,0,-0.1089047379956622,-1.6587871834943382,-0.952719706091994,-1.8417978794342047,1.5203028496707331
8,10,6,1.0,1.0,1,0,0.869221636674226,0.3147743148811166,0.745913686559581,0.9748117145175274,-0.0908340524390597
8,11,4,1.0,1.0,0,0,-0.2928641100007193,1.440120519496826,-0.8863713401005768,-0.4262814842955936,0.2516410173661664
20,0,6,3.0,3.0,2,0,-0.0753856706740556,-0.1478728795418326,-0.952023856522837,0.3044219638225519,1.2539246564387878
20,1,1,2.0,2.0,2,1,0.1585150521306554,0.216282109803321,0.9150606247746532,0.0512320037696445,0.1765011274045568
20,2,1,2.0,2.0,2,0,0.3082256877799352,-0.5035307337014867,-0.640361983518646,0.9583594910273264,1.4523258583128418
20,3,1,3.0,3.0,3,0,-1.6735566953294154,-1.3543779034827064,0.5597735868321589,0.9169815263532646,1.578615063383518
20,4,1,3.0,3.0,1,1,-0.4095268583511829,-0.034589860983974,-0.8396942328669657,-1.0748580075432008,0.7913873867197879
20,5,0,2.0,2.0,3,0,-1.5428851761774307,-1.739559322932508,0.5191264596270015,1.3643560424100585,0.8259826894133895
20,6,1,3.0,3.0,3,0,-1.536155544607272,-1.449209732010404,-1.533080774695851,0.4237908000154848,-0.8894600837060375
20,7,1,3.0,3.0,2,0,-0.501398116471996,-0.4111722896459647,-1.525165626455537,-0.4001592456659225,-1.0031397251510674
20,8,1,3.0,3.0,0,0,1.6397485939567402,1.3021088136486485,-0.6462053663053071,0.2864317164949864,0.4209101499497265
20,9,1,2.0,2.0,0,0,0.5851895121173655,0.3493905018367701,0.9520490469238037,-0.1219033821431698,0.3597215394180758
20,10,0,2.0,2.0,1,0,0.1721868859406376,-0.0907012068560706,-0.9897014199313078,-0.6944223129001466,0.7537783614444069
20,11,0,1.0,1.0,0,0,0.7327155208411441,1.448218835489137,0.1690814484109631,-0.1948156269994644,0.2214037213850288
21,0,0,1.0,1.0,3,0,-1.2111469974797309,-0.4776421331351834,0.0422821047504848,-0.9133056282020244,0.0419738500424492
21,1,1,2.0,2.0,2,1,-0.1103203943911916,0.0184035088383157,0.431978119333672,-0.0290118640119781,-0.3952847075210393
21,2,1,1.0,1.0,3,0,-1.447356005764336,-1.8407525704577563,0.8498381253620545,-0.8967304690074747,0.1819927379066868
21,3,1,1.0,1.0,2,0,-0.845052319063976,-1.172324058104426,1.645686308538162,-0.9808484249969688,-1.1990670620402806
21,4,1,1.0,1.0,2,0,-1.1691854574046092,-1.0966165291537,-1.4785921793318104,-0.8711961911783153,-1.2539246564387927
21,5,1,3.0,3.0,1,1,0.1485633043725657,0.2446673357419138,1.538859864373452,-0.954039933307208,0.4034357652299192
21,6,1,2.0,2.0,2,0,-0.6308564523818443,-0.8189541369055632,-1.7515628484114605,-0.6613853410381262,0.8579100957326881
21,7,1,3.0,3.0,2,0,-0.7595028218868921,-0.1939816922335205,1.0041202866967456,-1.4568115130977417,-0.1735525336251845
21,8,1,1.0,1.0,2,0,-1.1797090724724857,-0.6168481121951925,0.794811137675062,-0.8291880192358037,0.348888014185002
21,9,7,0.0,1.0,2,0,-1.63212411257253,-1.3494185570323671,-1.789735923968833,0.8523180066110084,0.4858300407718554
21,10,1,2.0,2.0,0,0,0.5866520770858756,0.6999668396273686,-1.2814199069892411,-0.7042336876078449,-0.051271939470607
21,11,1,1.0,1.0,3,0,-0.5731161386616429,-1.3047277374660111,0.0170294951028431,0.365501713632009,-0.3337934209689259
2,0,1,2.0,2.0,1,0,0.8813794857164056,0.7607975293874838,-0.4841289005484777,1.0468486339795546,0.0
2,1,1,3.0,3.0,3,0,-1.9523594925821424,-1.881719155820596,-1.026182616539806,-1.3825388978718285,0.3522974243126459
2,2,0,2.0,2.0,0,0,1.0563081799332137,0.4978094039935517,-1.0102515378412602,-0.3231719804336693,1.1753811203488287
2,3,0,1.0,1.0,0,0,0.5241123811345063,0.6100903682632404,1.027315271147896,-0.6625955080342832,-0.5336760502236001
2,4,0,1.0,1.0,0,0,1.1973338466398438,1.2664601127637067,-0.2175234901656908,-0.3641593518751746,-0.2707570785252243
2,5,0,2.0,2.0,0,1,1.6647268180496937,1.5190198343762331,0.4416785979560685,0.1460257214216635,0.7749721792662952
2,6,0,3.0,3.0,0,1,1.9466967737442864,1.884613434580587,1.0535029244981753,-0.7383213562246548,0.0498754668053625
2,7,0,2.0,2.0,2,0,-1.5669911915263282,-1.73347612518569,-0.4967797451614666,-1.1187221457736491,0.7749130248476155
2,8,0,2.0,2.0,2,0,-1.0930748792228464,-1.4031320056931722,0.1522895706872616,-0.1541442414481183,0.5527162925699812
2,9,0,3.0,3.0,1,0,0.3082174929071455,-0.3505660284956782,-1.2652482453605638,1.843183691292288,1.2022292590254249
2,10,0,3.0,3.0,2,1,-0.1266196112800783,0.0361055536237413,0.9770265428161844,0.4001181631362588,0.7636305112473014
2,11,0,3.0,3.0,2,1,0.3685272726184402,0.5432690355044886,0.2552126931991558,0.1782641208692064,0.6454972243678639
13,0,1,1.0,1.0,2,0,-0.2482060194669524,-1.165417194047224,0.1230530220506804,1.0018603840964542,1.0882143751650086
13,1,1,1.0,1.0,0,0,0.5045054633507643,0.5634140655812628,-0.0657595445958413,0.4788255706238281,0.5679618342470808
13,2,6,1.0,1.0,0,1,1.2358802821614212,1.1610996695360585,-0.4590722403415301,-0.5280738499895958,-1.5498260496951677
13,3,0,1.0,1.0,3,0,-1.8208575113300003,-1.9008331989161589,-0.4249948273522724,0.0913651061539245,-0.7429587926554748
13,4,0,2.0,2.0,0,1,1.6044039112506117,1.5933400641901567,-0.4552482847191322,1.1741430097048071,-0.3777486782597042
13,5,8,2.0,2.0,0,0,1.67594466694686,1.5461522681410176,1.0801309274321949,-0.8726022466248041,0.0922138891954048
13,6,2,3.0,3.0,3,0,-1.628767587669895,-1.9456025349716988,0.1532085654792523,1.496548365044854,-0.8951435925492944
13,7,2,2.0,2.0,2,0,-0.1800001872493759,0.5678778483620532,-1.2440471602243797,1.2139669262901662,0.4999999999999926
13,8,2,2.0,2.0,3,0,-1.767552873040407,-1.6815386201724636,0.8675569014789644,-1.0896858441731945,0.6798912261050358
13,9,8,1.0,1.0,1,0,0.1017765668397069,0.3253625896941204,-0.420349498335515,-1.2211794271240386,0.7015169165828808
13,10,5,1.0,1.0,2,0,-0.2883939737336341,-0.9786723647040966,0.5841992570839133,1.66767094030532,-0.3670565881742881
13,11,5,1.0,1.0,2,0,-0.9720979572868446,-0.6969458198137147,-0.8741359701613909,-0.4832801075669025,0.8587567332159313
9,0,6,1.0,1.0,2,0,-1.024797527377493,-0.2969078476100824,-1.2032035156427805,-0.5549569902995002,-0.3227486121839474
9,1,6,3.0,3.0,0,1,1.1001764122736073,0.9061166650792684,-0.2392510223053347,1.6340358081808244,-0.5079349722321863
9,2,6,4.0,4.0,2,0,-0.8870630830039161,-0.5437102180337674,-1.86425627972658,0.0348703858339116,0.1376204706407803
9,3,6,5.0,5.0,2,1,-1.101632275897283,-0.5992146636916572,-0.2566286703336741,-1.3433390835961296,1.219875091185662
9,4,6,5.0,5.0,2,0,-1.1650781720842225,-0.7844806972950168,1.5939303044877204,1.336691754393889,1.2636590776123275
9,5,6,6.0,6.0,2,0,-1.2451093244567182,-0.6689728580674537,-0.5837884264002038,-0.800407402201884,0.8694403162228315
9,6,6,5.0,5.0,0,0,1.2088724034204277,0.2118130112614756,0.4963874599273999,-0.1804583534564262,-1.0564428184106371
9,7,6,3.0,3.0,2,0,-1.0076251701475845,-1.075420422534349,1.2739184659730003,0.1498941467566883,-0.7233642332556177
9,8,6,4.0,4.0,3,0,-1.80437456345551,-1.7836761388075717,-0.7947209390377316,1.0747726633843906,-0.8951435925492517
9,9,6,2.0,2.0,3,0,-1.5983862574276495,-1.4379092624239165,-0.4986151574035908,-0.311965408595226,0.5661385170722842
9,11,6,3.0,3.0,1,0,0.2867236499067717,0.3549697034979127,-0.2748501520313338,-0.3053910038882421,0.6192217557725974
5,0,1,1.0,1.0,0,0,1.0268572570243502,0.6761701834578605,0.9996794031898568,1.0439774642761062,1.1681571191849731
5,1,1,1.0,1.0,0,1,1.1088202821716462,1.1185235429286378,0.5189003459144376,-1.5377845919828057,0.5458494140949287
5,2,1,1.0,1.0,3,0,-0.4568035094876594,-1.6135111947720415,-0.8070409040777828,-1.7005299870654704,1.8185605666117588
