レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240101HMN01,6.5,3.1,40.4,28.2,11.2,59.2,39.3,43.0,22.2,141.0,3.5,65.9,23.2,23.1,9.0,141.0,44.4,22.5,99.7,51.1
20240101HMN02,8.4,31.4,72.3,92.7,2.9,5.8,22.3,27.6,57.9,121.0,11.1,21.8,49.7,72.3,97.6,129.4,4.3,15.1,26.5,53.0
20240101HMN03,16.6,11.8,62.8,12.6,8.2,60.5,8.1,54.9,4.8,41.4,12.7,103.0,15.9,66.6,6.3,80.4,56.3,5.6,63.4,25.0
20240101HMN04,15.7,30.8,23.6,112.8,13.5,10.6,106.4,14.7,100.7,104.5,7.1,3.9,74.2,10.0,128.2,99.0,3.0,53.2,41.8,38.6
20240101HMN05,4.8,8.3,10.6,22.0,4.7,4.3,10.8,7.6,21.8,15.2,86.7,73.9,157.1,139.6,157.1,201.1,61.3,135.9,111.7,82.4
20240101HMN06,16.5,3.3,29.3,24.4,5.1,31.4,29.7,6.6,3.5,33.1,53.1,118.5,120.7,74.5,37.2,107.0,67.0,40.4,114.4,24.7
20240101HMN07,17.6,3.1,22.4,10.8,9.6,33.6,25.7,6.3,3.1,18.0,79.3,132.9,132.9,62.8,42.3,139.4,109.9,112.0,168.1,37.3
20240101HMN08,19.8,13.3,4.5,72.6,22.0,5.8,112.6,2.4,29.0,18.5,68.8,33.3,222.1,15.8,222.1,68.2,17.3,131.7,68.8,25.4
20240101HMN09,10.2,6.0,3.8,54.3,13.6,7.9,133.2,3.2,56.1,43.2,53.5,33.9,194.1,9.8,130.6,130.6,31.7,261.3,121.3,40.2
20240101HMN10,2.0,9.5,10.6,17.9,6.8,5.9,13.5,40.9,43.1,57.2,37.3,38.9,39.3,112.3,81.1,257.8,56.9,82.6,146.1,151.1
20240101HMN11,9.4,32.2,15.6,44.9,9.8,1.8,9.4,22.7,48.2,7.7,63.9,33.2,98.4,130.1,156.7,95.9,45.9,70.4,19.9,69.1
20240101HMN12,5.1,13.7,2.3,6.9,32.6,8.3,21.4,26.4,57.4,8.6,114.9,46.4,90.0,136.5,126.6,35.9,116.5,107.8,80.1,100.4
20240101GMG01,9.8,16.8,68.3,20.4,3.8,9.4,2.1,18.4,10.3,19.3,81.7,208.7,144.5,197.8,110.5,375.8,89.4,61.6,107.3,208.7
20240101GMG02,3.2,23.8,17.4,5.4,42.1,20.0,8.3,110.2,35.2,20.9,43.5,12.7,6.5,69.1,26.9,15.1,89.3,59.5,19.0,62.4
20240101GMG03,19.6,12.3,50.6,68.9,2.1,15.2,24.9,7.6,10.5,55.1,16.2,63.6,112.8,48.1,55.1,134.1,12.0,10.8,75.2,25.9
20240101GMG04,6.5,7.9,12.7,58.8,3.4,4.8,50.7,5.3,39.7,41.2,30.9,41.7,160.8,55.4,106.3,113.7,14.8,109.9,74.0,68.6
20240101GMG05,7.4,20.1,11.4,80.1,4.4,2.6,39.0,5.5,88.9,35.4,51.0,34.2,202.7,66.3,197.2,221.1,11.9,143.0,49.3,85.8
20240101GMG06,11.9,55.4,57.7,5.0,19.1,19.6,1.9,72.5,10.9,7.5,87.3,103.2,29.2,158.4,59.7,111.7,71.7,38.2,39.1,92.0
20240101GMG07,6.0,2.4,36.1,47.1,2.9,25.8,39.5,10.3,13.5,82.9,25.4,226.5,327.2,67.6,64.0,294.4,70.9,66.9,184.0,65.4
20240101GMG08,2.8,3.1,52.8,4.0,14.4,41.9,20.5,91.7,18.3,118.1,25.3,88.2,31.9,105.6,18.0,174.2,136.6,74.9,240.3,199.1
20240101GMG09,3.2,5.2,12.4,17.5,5.8,9.5,14.2,14.3,13.2,20.2,48.2,67.9,75.9,54.6,67.0,125.9,60.0,71.7,82.6,34.6
20240101GMG10,4.5,32.1,6.0,21.7,25.3,2.9,7.4,31.9,80.5,8.1,137.7,23.4,64.6,86.2,121.9,56.1,66.1,139.9,15.9,129.3
20240101GMG11,7.7,28.0,25.2,41.0,5.3,2.9,3.9,30.5,16.6,16.5,65.9,48.0,78.2,93.4,89.7,197.9,57.0,43.6,22.1,106.8
20240101GMG12,15.4,6.3,10.9,22.6,5.6,9.2,16.6,4.2,6.9,8.8,93.1,120.2,130.1,66.8,101.0,111.7,81.1,65.5,89.6,27.5
20240101TKN01,5.3,12.8,107.9,6.0,8.1,51.4,3.7,124.5,10.0,98.1,21.4,98.1,8.5,179.9,14.9,140.8,147.2,11.4,67.4,111.6
20240101TKN02,2.6,22.1,7.0,60.3,24.4,11.4,110.6,61.4,237.0,207.4,10.6,2.9,35.3,24.7,92.1,56.2,30.4,158.0,82.9,276.5
20240101TKN03,3.3,4.6,9.6,4.5,24.9,55.0,51.8,54.2,43.5,60.7,18.3,26.8,13.6,29.6,13.6,20.6,85.9,135.5,153.1,71.9
20240101TKN04,5.7,10.6,1.8,79.5,33.6,7.4,170.4,12.6,183.5,79.5,61.1,10.8,216.8,14.2,183.5,60.3,54.8,318.1,183.5,113.6
20240101TKN05,11.9,5.6,6.0,123.2,7.0,7.6,106.5,2.1,66.8,80.4,70.4,56.3,262.9,33.4,303.3,303.3,39.8,231.9,140.8,109.5
20240101TKN06,18.0,13.4,6.5,44.7,50.6,64.0,209.5,30.7,68.8,121.3,10.8,4.9,29.1,2.5,24.1,9.4,42.2,184.4,80.8,47.0
20240101TKN07,7.4,11.9,30.4,126.3,2.5,10.3,88.0,16.2,105.7,48.0,6.3,24.4,114.0,38.0,166.1,181.6,5.5,47.2,72.6,42.7
20240101TKN08,14.1,23.2,10.6,78.6,13.2,3.2,65.5,6.8,148.8,23.5,36.7,12.8,100.1,21.1,101.9,50.9,4.8,70.6,16.1,24.5
20240101TKN09,10.8,48.9,14.0,84.1,13.8,1.7,11.4,35.3,91.4,16.6,84.1,15.4,71.3,85.8,31.8,102.6,26.2,60.0,10.5,113.6
20240101TKN10,4.6,14.3,27.8,69.9,2.0,4.7,11.7,17.2,33.6,63.9,51.9,68.1,308.4,154.2,127.9,403.3,35.9,69.0,67.2,87.4
20240101TKN11,9.3,1.9,14.5,28.3,6.2,24.5,63.8,6.4,15.2,36.1,33.3,64.7,206.6,40.1,83.4,217.0,85.1,120.5,149.6,70.0
20240101TKN12,9.2,3.6,25.1,35.4,2.9,14.1,32.9,5.7,7.7,46.2,60.3,114.5,239.9,54.4,118.5,234.3,55.6,86.8,167.9,43.2
20240101TSU01,2.3,6.4,13.4,29.2,4.6,8.7,26.9,18.9,38.2,57.3,25.9,63.9,94.8,98.2,131.0,275.1,15.6,67.1,131.0,105.8
20240101TSU02,4.7,11.0,5.9,34.3,11.0,4.7,28.8,8.3,43.3,26.4,28.5,23.5,46.1,16.2,90.2,46.1,18.6,74.7,34.3,35.5
20240101TSU03,3.7,5.8,42.6,14.2,3.9,34.0,7.4,20.7,15.0,72.1,13.2,112.2,30.9,121.2,43.2,252.5,57.1,17.1,121.2,55.1
20240101TSU04,9.8,20.7,42.2,28.2,6.9,6.9,7.3,16.1,23.2,26.7,21.5,26.1,20.1,53.4,46.8,46.2,9.6,13.8,7.0,22.3
20240101TSU05,4.3,3.9,11.2,13.6,8.8,14.9,27.4,8.7,7.5,30.5,21.0,42.0,137.4,86.4,57.0,137.4,79.5,97.5,116.3,22.0
20240101TSU06,3.6,5.5,4.9,16.4,24.7,23.0,45.8,40.8,40.8,35.9,16.7,10.2,21.4,23.5,28.3,13.2,79.6,98.4,37.6,31.8
20240101TSU07,11.0,28.2,31.9,55.3,9.3,3.8,11.6,17.0,46.1,37.7,15.9,10.2,15.4,38.0,62.8,59.2,9.0,20.5,7.8,36.3
20240101TSU08,5.1,55.8,45.0,97.5,12.0,3.2,7.3,80.0,60.9,22.7,25.1,12.8,26.1,92.5,114.1,82.5,12.3,20.0,6.7,42.5
20240101TSU09,20.8,3.8,12.4,21.5,12.6,30.4,38.5,4.8,4.7,25.0,37.9,81.5,90.8,17.1,26.8,109.3,33.1,44.1,84.4,11.6
20240101TSU10,14.1,4.6,4.1,45.7,10.1,9.3,58.8,3.5,32.0,28.7,44.8,59.8,162.4,18.3,52.0,97.4,29.0,93.4,115.6,28.9
20240101TSU11,4.1,4.8,2.2,16.4,21.6,14.2,57.1,18.5,44.1,34.5,81.1,35.9,74.6,41.0,69.9,66.3,90.0,86.4,136.9,90.0
20240101TSU12,3.4,2.6,19.4,24.0,5.0,13.2,27.2,15.5,17.0,50.0,27.2,108.8,227.6,59.6,67.6,250.4,61.0,104.3,208.6,131.8
20240101NRT01,3.1,5.6,13.4,13.1,4.3,9.7,8.3,21.5,17.2,29.0,52.4,96.4,90.6,186.9,76.6,199.4,106.8,96.4,213.6,157.4
20240101NRT02,5.1,6.1,43.7,2.7,21.4,91.7,8.6,116.7,10.3,62.1,34.7,74.1,13.1,93.9,9.9,46.4,142.7,55.8,128.4,113.3
